epoch,utterance_lcc,utterance_srcc,utterance_mse,frame_lcc,frame_srcc,frame_mse
1,0.0366860910651175,0.038058695377273195,1.8307631636779307,0.021723740846411585,0.021077008861950037,1.8612453564618998
2,0.08298929188781418,0.07897606067340326,1.8218868463774793,0.05052689652833939,0.048676372025890875,1.853660158685169
3,0.11266285702198818,0.10937842305379074,1.8132067167802153,0.06795393527239191,0.0662941096040225,1.849689325836661
4,0.12341832620364723,0.11948542705113294,1.8087165528280904,0.0773790024421191,0.0754885368537369,1.847033538048749
5,0.1363505099082683,0.1318286069645174,1.8063251301913261,0.07919915084559682,0.07593671238364562,1.8464996929685011
6,0.13778649559715775,0.13237025623707482,1.802056491828362,0.08994929013391008,0.0859594919199237,1.843342123681042
7,0.15641736125382458,0.15001164096953956,1.7924115945519505,0.10896847159140252,0.10526680771704372,1.8354793940028524
8,0.15284958905870835,0.1476659799624752,1.7942056051154804,0.10462860599989157,0.10171826903215722,1.8382160768335112
9,0.17040857880828547,0.1649974577514116,1.788493477732814,0.10227936004088316,0.09783959734176405,1.8408347044386597
10,0.1799153246790004,0.1730099144302455,1.7811194337653387,0.1157068931882888,0.11052883117819622,1.8354808701281298
11,0.18222090814862701,0.17373323628854617,1.779051712162608,0.12427321884253226,0.1175168196328318,1.830271251759034
12,0.17655391111839255,0.1663541747828866,1.7811516241419263,0.12092773409241857,0.11281181508912806,1.8324667117338345
13,0.1825462553022058,0.17215147378640838,1.7754159289323184,0.13732351391509146,0.1295363480691098,1.823572855442512
14,0.19398761317281413,0.1863139941897455,1.7694478765089834,0.13940689192844924,0.133990000105531,1.8231742639320334
15,0.1838143066557284,0.17564742652193446,1.7736616415263886,0.13845250472978515,0.13244355056544682,1.8244212303327356
16,0.1977367193208717,0.18803329218874323,1.7669543711860123,0.1464380407907976,0.1384669505843053,1.818084413184093
17,0.18219239320435812,0.1703883292038895,1.7752633560969087,0.1411370453528576,0.13177396229731625,1.8212435213352052
18,0.1838703236005158,0.17378398316004642,1.77431202687662,0.14105248383549587,0.1328446642898021,1.8213667736992807
19,0.18715909334186856,0.17747048983326455,1.7751953570413253,0.13336607270000903,0.12557545758260014,1.8255320701092164
20,0.18378929096310642,0.1725551570590504,1.7739440538562687,0.13914212978377338,0.12646389984224785,1.823687162437177
21,0.17525232152268777,0.1669911047885477,1.7835455442114365,0.1221729863244579,0.1143764784501384,1.8302495838817658
22,0.17805337878107355,0.1723148677278488,1.7778299385230434,0.13335888959647485,0.12634263975002938,1.8262302940966972
1,0.0030203536535190903,0.008557792881195543,2.1350892347475683,0.004009933271209074,0.004650097183791179,2.263606385731856
2,0.011120856639613444,0.010582867753812885,1.8367872816786843,0.0023212144352974784,0.002154110184911815,1.9577584567146136
3,0.01977813554540877,0.017158629171155817,1.833957776287159,0.0031245966118015945,0.0028378983687956678,1.9436851739214343
4,0.02687940700626249,0.025278617326485932,1.8334940943280995,0.00634096443554821,0.0059358039697906964,1.9383397105762405
5,0.034643639687481464,0.03479621750628159,1.831540889130061,0.009978747719691082,0.009501791855458547,1.9325133187976646
6,0.03981965868124936,0.03723817501512375,1.8309184649950294,0.01193988634779739,0.011425121905396705,1.9322395857435357
7,0.02719520747775711,0.02648039011998462,1.8336291458878498,0.006442345093523067,0.005889681400246909,1.9368787307759427
8,0.025662169887551198,0.022330532098872462,1.8335803535923247,0.006544742403415106,0.0060973765234155096,1.9368489086213456
9,0.04185748603652731,0.04241066217233616,1.830008223669027,0.006297530796351418,0.006197219306674565,1.9334332302659822
10,0.048122761999650515,0.047419169059811875,1.8290907524964624,0.0125106677215654,0.01192888234253848,1.9334298868437974
11,0.07081756142096365,0.0633367410657109,1.8246031481817087,0.01567004818531896,0.014792373519749028,1.9313309689739737
12,0.10056780366911143,0.09579228895577352,1.8154954366292408,0.030428145417015166,0.029158579802103898,1.9305391370905844
13,0.10194008447211168,0.09639922949680904,1.8144036266411359,0.03664432772738103,0.03469767545240163,1.9274538232628167
14,0.09839460357710011,0.0884773722530995,1.8155717589355367,0.03809361802229315,0.03579434293294036,1.933319143226929
15,0.12829000293235043,0.12149989264264567,1.8048016139000824,0.0481031653291238,0.045705507416989935,1.9257566659466763
16,0.14817610843192064,0.14373023296912843,1.7961745813582128,0.056411619430372775,0.054234692534844524,1.9238544919753766
17,0.14391403921564883,0.1364453960562587,1.7974404460965832,0.05837484733076896,0.05551583265964891,1.9198718620672512
