epoch,utterance_lcc,utterance_srcc,utterance_mse,utterance_ktau,system_lcc,system_srcc,system_mse,system_ktau
2,0.16666213335173424,0.1627792359019651,0.3091176528787224,0.10961303619131525,0.16880657547605413,0.1249813543758536,0.3013766279702708,0.08446993760979243
3,0.25177451990708716,0.24913896034915414,0.3009686327311614,0.16840123481207564,0.3301483836725225,0.32454295122190213,0.27005551265225336,0.2215029730346755
4,0.283780447407536,0.2805200669965741,0.29629615207219057,0.18988446761822778,0.22752826922123368,0.24939960575400988,0.30168778953884073,0.17174389578122878
5,0.3244465042840504,0.3235159691876906,0.29013664157431834,0.2196577197804754,0.29618649062058217,0.2957116474145742,0.2803152785325498,0.2061547485072966
6,0.34768200460895876,0.3521855980561293,0.2850462234508432,0.23956602964469845,0.2898759520380704,0.2572835041265479,0.26948302394577883,0.17505787922939442
7,0.3740088800663464,0.37514801072732273,0.2803744657602469,0.2558279570060518,0.26812119245735566,0.27481221593804567,0.2733853948329606,0.18884825863603907
8,0.3347779045897021,0.33790353807838064,0.28628008859660137,0.2298654604384973,0.17969525553218335,0.19634313163227451,0.2940403054556786,0.13583763717653216
9,0.38022702053181234,0.3851319709540726,0.27981085932208427,0.2626619792586674,0.3362018551893214,0.3471580445330875,0.27578402254754947,0.23913308736041386
10,0.39777555321789393,0.40291336396381106,0.2755938092447498,0.27589124321345493,0.38640787685777866,0.43436655849258177,0.27507747071598027,0.30470860016256246
11,0.40790955761553344,0.41245616100606364,0.27205704125891533,0.28229565904193454,0.45060766955933185,0.4237905657117293,0.2805805796868341,0.2978491039435642
12,0.4195728128051957,0.4210958045544653,0.26893082929322204,0.288589280716486,0.43762408728073054,0.41711747830893214,0.2716471427423544,0.29272726068920313
13,0.43661290479603254,0.43827090677877945,0.26404105135141587,0.300922929320839,0.4465990499435509,0.4647884444595379,0.25758316878223203,0.320230690391751
14,0.4539991341557793,0.4576402663369357,0.2598820671502499,0.31532562957186633,0.42167226319955675,0.4429846974539973,0.24960017710393773,0.30444395601163105
15,0.4755604336959042,0.47669957206498975,0.2541675420189321,0.32915506909165154,0.4602959685976395,0.44707855356264525,0.22264184009312885,0.3146955565344887
16,0.4101204925624016,0.4266551635569752,0.2645353003664806,0.29297450033100175,0.3171886329656013,0.2832828116763611,0.28575325979820676,0.19194692593421733
17,0.35705974965268855,0.37355143595766493,0.2862718845377222,0.2545536801051685,0.249647986336125,0.2869230711954924,0.3005842031822522,0.1937460493196473
18,0.41883453291517597,0.4301937354011947,0.26970228739181396,0.2950390094864297,0.47277598255386327,0.4959198375484888,0.21999123154095268,0.3474230931212873
19,0.45351678847800025,0.4578830462915292,0.2614592051129946,0.3155205760057048,0.43449428464829415,0.4255648682780062,0.28111837906390647,0.2937365592250809
20,0.4771172611450424,0.48136223506958387,0.25504360415037575,0.3326861744834703,0.47128041037621116,0.4825271493169593,0.23668339977066563,0.3373954993956116
21,0.483452245738209,0.4748687102037472,0.2500023107777481,0.32859285927430393,0.39974506047238606,0.3897235473906481,0.2805321505965105,0.26733649014589755
22,0.4828120652916027,0.4673880976752027,0.2470398426167541,0.3230666722736134,0.5742441964349811,0.535417536020907,0.2890554521937876,0.3792792677446099
23,0.4580603584618481,0.44639247289885503,0.2576049308684185,0.3079105436796681,0.43806814743635053,0.40693395410122174,0.25109405530159795,0.2835731169178922
24,0.47919222274570705,0.461643268407402,0.24792103536738866,0.3196571420266412,0.4952967988757592,0.4629719309398286,0.20930023768176093,0.32561919003640055
25,0.4173844346268168,0.4125055466314145,0.26755482917414636,0.2833508726801653,0.42691650999072167,0.4196353821566362,0.2131567454467438,0.29615687217631065
26,0.4333809404889516,0.42054473647539786,0.26240530333392786,0.2887701052378807,0.4789943718830316,0.40143567361872573,0.2273592278632347,0.2796305177142228
27,0.48072902596008904,0.4636312473013241,0.24870032207535908,0.32052735734940896,0.3494025501758084,0.2980051348329395,0.22164077257121495,0.2097094883047631
28,0.5155562629930639,0.4947738223904217,0.23580199933007842,0.34400380851500806,0.5188221039626159,0.5333218426608841,0.28700841020793183,0.37419457746649987
29,0.5235532492704852,0.4998798692106372,0.2313954910777648,0.3484556025716505,0.6001718831530157,0.5185508252298665,0.21872612535199654,0.36968383189398657
30,0.5368605441705961,0.5155316250352799,0.22598986175805733,0.3599817016458047,0.5746357514071196,0.5494165550378673,0.22185768787230908,0.3925950872849993
31,0.5198046362732717,0.49796244028362185,0.23209413142546487,0.3468855290959203,0.4894677231304085,0.47634500121149875,0.22400876873205788,0.3373255073678973
32,0.5221311070783415,0.49616640437066245,0.23067813338840024,0.34525888649893205,0.5514813779155795,0.544218905942438,0.22566406064360867,0.38756599959951005
33,0.5081213589472279,0.49837375606122686,0.23941564456337458,0.34571707595121043,0.4851484459054296,0.4833989999234061,0.2350847745928153,0.33403633811867334
34,0.5776948648193718,0.558644621553419,0.21128784234354503,0.39398111651878626,0.6175276567175777,0.5754647790214256,0.20433581142784046,0.41844651993688825
35,0.5779284552386109,0.5565238289557694,0.21151055101311578,0.39204816259613867,0.580567761081787,0.5627716270855392,0.1831608077020709,0.4041336090432158
36,0.5904102297201361,0.5734960263522811,0.20626503930519802,0.40575603911973573,0.6407107085458434,0.606121756666964,0.20160568003612733,0.4370086072178502
37,0.4344333142133142,0.43102429882431864,0.2565298029601427,0.2971015202719156,0.38759857358216687,0.39794630714388424,0.21462890787072514,0.2733484786376285
38,0.5524584375599808,0.5350287055205277,0.22084773841738278,0.3757341576259109,0.6128035231561908,0.5789277034872158,0.236844833823284,0.4210278842941856
39,0.6026922848133535,0.5837319076720451,0.20240070549564676,0.4139843235558082,0.610466808368349,0.591331716225733,0.20474808575097456,0.42464118057195527
40,0.6241709914838951,0.6089729093807335,0.19344627470857836,0.4337775749839568,0.6619479565767257,0.6612055427835523,0.1987207947944856,0.48818549632828234
41,0.646602411713592,0.6319880347968145,0.18434295551192442,0.45284148071917585,0.6551817093850405,0.6243301944287991,0.1701714156471015,0.45599155676572056
